time,interval,temperature,windspeed,winddirection,is_day,weathercode,city,timestamp
2024-10-29T14:00,900,20.5,6.1,332,0,2,Pokhara,2024-10-29 19:48:00
2024-10-29T14:00,900,20.5,6.1,332,0,2,Pokhara,2024-10-29 19:48:11
2024-10-29T14:00,900,20.5,6.1,332,0,2,Pokhara,2024-10-29 19:48:22
2024-10-29T14:00,900,20.5,6.1,332,0,2,Pokhara,2024-10-29 19:48:33
2024-10-29T14:00,900,20.5,6.1,332,0,2,Pokhara,2024-10-29 19:48:45
2024-10-29T14:00,900,20.5,6.1,332,0,2,Pokhara,2024-10-29 19:48:56
2024-10-29T14:00,900,20.5,6.1,332,0,2,Pokhara,2024-10-29 19:49:08
2024-10-29T14:00,900,20.5,6.1,332,0,2,Pokhara,2024-10-29 19:49:19
2024-10-29T14:00,900,20.5,6.1,332,0,2,Pokhara,2024-10-29 19:49:30
2024-10-29T14:00,900,20.5,6.1,332,0,2,Pokhara,2024-10-29 19:49:42
2024-10-29T14:00,900,20.5,6.1,332,0,2,Pokhara,2024-10-29 19:49:53
2024-10-29T14:00,900,20.5,6.1,332,0,2,Pokhara,2024-10-29 19:50:05
2024-10-29T14:00,900,20.5,6.1,332,0,2,Pokhara,2024-10-29 19:50:16
2024-10-29T14:00,900,20.5,6.1,332,0,2,Pokhara,2024-10-29 19:50:29
2024-10-29T14:00,900,20.5,6.1,332,0,2,Pokhara,2024-10-29 19:50:40
